Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll
33.86626833,-112.2942933,53:36.1,8/16/2011,8,0.38,301.32,11.0838024,0,286.1,297.1838024,4.8,-3.1,38.5,0.01,2.25,2.26,81,20,372,14.2,-1.4,D,1077,0,3.177,1,0,128,157.1969,-112.29428,33.866242,0,0,1,N,127,127,5,5,5,157.1969,0
33.86627082,-112.294297,53:37.1,8/16/2011,8,0.36,300.92,11.0838024,0,284.8,295.8838024,4.9,-3.2,38.6,0.02,2.34,2.36,81,20,372,14.2,-1.4,D,1077,0,3.569,1,1,128,153.914,-112.29428,33.866242,0,0,1,N,128,128,5,5,5,156.0193,0
33.86627141,-112.2943002,53:38.1,8/16/2011,8,0.39,292.25,11.0838024,0,285,296.0838024,5.5,0.5,38.6,0.03,2.4,2.43,81,20,372,14.2,-1.4,D,1085.2,1,66.075,1,1,165,21.57529,-112.294037,33.866824,0,0,1,N,131,131,5,250,250,21.57529,0
33.86627327,-112.294304,53:39.1,8/16/2011,8,0.39,296.56,11.0838024,0,285.1,296.1838024,4.8,-0.5,38.6,0.02,2.43,2.45,81,20,372,14.2,-1.4,D,1085.2,1,66.015,1,1,165,21.9274,-112.294037,33.866824,0,0,1,N,127,127,5,250,250,21.9274,0
33.86627339,-112.2943057,53:40.2,8/16/2011,8,0.51,284.96,11.0838024,0,286.8,297.8838024,4.8,0.6,38.6,0.02,2.43,2.45,81,24,372,14.2,-1.7,D,896.8,1,66.061,1,1,165,22.05953,-112.294037,33.866824,0,0,1,N,127,127,5,250,250,22.05953,0
33.8662738,-112.294306,53:41.1,8/16/2011,8,0.65,283.13,11.0838024,0,289.8,300.8838024,4.6,0.4,38.7,0.01,2.49,2.5,81,24,372,14.2,-1.7,D,896.8,1,66.027,1,1,165,22.09246,-112.294037,33.866824,0,0,1,N,126,126,5,250,250,22.09246,0
33.86627384,-112.2943093,53:42.2,8/16/2011,8,0.76,283.94,11.0838024,0,293.3,304.3838024,4.5,0.2,38.7,0.01,2.55,2.56,81,25,371.9,14.2,-1.8,D,860.4,1,66.139,1,1,165,22.33834,-112.294037,33.866824,0,0,1,N,126,126,5,250,250,22.33834,0
33.86627719,-112.2943169,53:43.2,8/16/2011,8,0.8,286.72,11.0838024,0,297.3,308.3838024,4.5,-0.1,38.6,0.01,2.55,2.56,81,25,371.9,14.2,-1.8,D,860.4,1,66.068,1,1,165,23.02838,-112.294037,33.866824,0,0,1,N,126,126,5,250,250,23.02838,0
33.86627909,-112.29432,53:44.2,8/16/2011,8,0.78,294.68,11.0838024,0,301.9,312.9838024,4.4,0,38.6,0,2.61,2.62,81,25,371.9,14.2,-1.8,D,860.4,1,65.986,1,1,165,23.32922,-112.294037,33.866824,0,0,1,N,126,126,5,250,250,23.32922,0
33.86627901,-112.2943224,53:45.2,8/16/2011,8,0.8,296.7,11.0838024,0,306.1,317.1838024,4.3,0.1,38.7,0,2.77,2.77,81,25,371.9,14.2,-1.8,D,851.4,1,66.082,1,1,165,23.50237,-112.294037,33.866824,0,0,1,N,125,125,5,250,250,23.50237,0
33.86628072,-112.2943257,53:46.2,8/16/2011,8,0.86,306.57,11.0838024,0,310.7,321.7838024,4.3,0.2,38.7,0,2.8,2.8,81,25,371.9,14.2,-1.8,D,851.4,1,66.03,1,1,165,23.80879,-112.294037,33.866824,0,0,1,N,125,125,5,250,250,23.80879,0
33.86628637,-112.294331,53:47.2,8/16/2011,8,0.85,311.55,11.0838024,0,315,326.0838024,4.4,-0.4,38.7,0,2.89,2.89,81,25,371.9,14.2,-1.8,D,852.3,1,65.656,1,1,165,24.41918,-112.294037,33.866824,0,0,1,N,126,126,5,250,250,24.41918,0
33.8662866,-112.2943328,53:48.2,8/16/2011,8,0.88,315.95,11.0838024,0,319.5,330.5838024,4.3,0,38.7,0,3.04,3.04,81,25,371.9,14.2,-1.8,D,852.3,1,65.702,1,1,165,24.56184,-112.294037,33.866824,0,0,1,N,125,125,5,250,250,24.56184,0
